timestamp,origin_lat,origin_lon,destination_lat,destination_lon,trip_distance,eta_prediction,time_of_prediction,model_used
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 20:54:10.381005,XGBRegressor
2024-08-08T00:00:00Z,-1.284604486663143,36.68626785278321,-1.2739575,36.8118501,19952.5,1658.4490966796875,2024-08-08 20:54:36.795122,XGBRegressor
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 20:54:51.846503,XGBRegressor
2024-08-08T00:00:00Z,-1.2593742778212769,36.71167373657227,-1.2739575,36.8118501,13089.4,1363.249755859375,2024-08-08 20:56:06.931112,XGBRegressor
2024-08-08T00:00:00Z,-1.2593742778212769,36.71167373657227,-1.2739575,36.8118501,13131,1517.115966796875,2024-08-08 20:56:39.431254,XGBRegressor
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 21:00:56.619925,XGBRegressor
2024-08-08T00:00:00Z,1.1004796,36.6825914,-1.2739575,36.8118501,336236.8,3222.885986328125,2024-08-08 21:02:20.288798,XGBRegressor
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 21:02:35.881502,XGBRegressor
2024-08-08T00:00:00Z,1.1004796,36.6825914,-1.2739575,36.8118501,336236.8,3222.885986328125,2024-08-08 21:03:00.630205,XGBRegressor
2024-08-08T00:00:00Z,1.1004796,36.6825914,-1.2739575,36.8118501,336236.8,3222.885986328125,2024-08-08 21:03:15.907424,XGBRegressor
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 21:04:03.555102,XGBRegressor
2024-08-08T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-08 21:05:42.420271,XGBRegressor
2024-08-08T00:00:00Z,-1.2348303708657813,36.71407699584962,-1.2739575,36.8118501,13622.7,1585.31982421875,2024-08-08 21:06:21.498996,XGBRegressor
2024-08-08T00:00:00Z,-1.2300305138401768,36.78814888000489,-1.2739575,36.8118501,9179.3,1404.4130859375,2024-08-08 21:12:13.322594,XGBRegressor
2024-08-08T00:00:00Z,-1.2247101870976034,36.8078899383545,-1.2739575,36.8118501,9024.4,1453.57763671875,2024-08-08 21:12:37.959140,XGBRegressor
2024-08-08T00:00:00Z,-1.2241099219360259,36.85132026672364,-1.2739575,36.8118501,12854.5,1885.8411865234375,2024-08-08 21:14:38.340452,XGBRegressor
2024-08-09T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-09 18:25:55.768108,XGBRegressor
2024-08-09T00:00:00Z,-1.3032036,36.6825914,-1.2739575,36.8118501,30275.7,2248.195556640625,2024-08-09 22:58:00.444359,XGBRegressor
2024-08-09T00:00:00Z,-1.2634935124040183,36.67476654052735,-1.2739575,36.8118501,24889.9,1949.59033203125,2024-08-10 00:55:27.050682,XGBRegressor
2024-08-09T00:00:00Z,-1.2344905625908813,36.70721054077149,-1.2739575,36.8118501,17458.1,1568.106201171875,2024-08-10 00:55:31.322439,XGBRegressor
2024-08-09T00:00:00Z,-1.2296872701762085,36.72429084777833,-1.2739575,36.8118501,13954.1,1587.1683349609375,2024-08-10 00:55:34.795439,XGBRegressor
2024-08-09T00:00:00Z,-1.2282287765932283,36.7339038848877,-1.2739575,36.8118501,13114.5,1681.5767822265625,2024-08-10 00:55:39.476598,XGBRegressor
2024-08-09T00:00:00Z,-1.2442769091840473,36.73330307006837,-1.2739575,36.8118501,12168.6,1595.6368408203125,2024-08-10 00:55:43.702761,XGBRegressor
2024-08-09T00:00:00Z,-1.2578347077838283,36.73476219177247,-1.2739575,36.8118501,12773.4,1684.4033203125,2024-08-10 00:55:46.809349,XGBRegressor
2024-08-09T00:00:00Z,-1.2504532069640324,36.753816604614265,-1.2739575,36.8118501,9806.9,1370.1663818359375,2024-08-10 00:55:51.061717,XGBRegressor
2024-08-09T00:00:00Z,-1.2504532069640324,36.753816604614265,-1.2586044704178534,36.81467056274415,7998.1,1172.1009521484375,2024-08-10 00:55:54.771776,XGBRegressor
2024-08-09T00:00:00Z,-1.2504532069640324,36.753816604614265,-1.2401549895943969,36.814241409301765,12207.4,1601.82275390625,2024-08-10 00:55:58.525757,XGBRegressor
2024-08-09T00:00:00Z,-1.2388684304870725,36.7503833770752,-1.2401549895943969,36.814241409301765,11501.0,1505.4560546875,2024-08-10 00:56:03.215109,XGBRegressor
2024-08-09T00:00:00Z,-1.232175620750091,36.74652099609376,-1.2401549895943969,36.814241409301765,9697.2,1363.687744140625,2024-08-10 00:56:10.069325,XGBRegressor
2024-08-09T00:00:00Z,-1.219131786066074,36.74549102783204,-1.2401549895943969,36.814241409301765,10077.5,1363.687744140625,2024-08-10 00:56:13.854676,XGBRegressor
2024-08-09T00:00:00Z,-1.2058309856260987,36.74652099609376,-1.2401549895943969,36.814241409301765,9821.5,1363.687744140625,2024-08-10 00:56:18.289717,XGBRegressor
2024-08-09T00:00:00Z,-1.2058309856260987,36.74652099609376,-1.2225638367765916,36.81758880615235,11566.6,1500.314208984375,2024-08-10 00:56:25.096484,XGBRegressor
2024-08-09T00:00:00Z,-1.2151006037408045,36.74222946166993,-1.2225638367765916,36.81758880615235,14050.5,1676.714599609375,2024-08-10 00:56:30.308178,XGBRegressor
2024-08-09T00:00:00Z,-1.1982792397607618,36.73716545104981,-1.2225638367765916,36.81758880615235,10837.5,1369.01953125,2024-08-10 00:56:46.657927,XGBRegressor
2024-08-09T00:00:00Z,-1.2084932013192353,36.73596382141114,-1.2225638367765916,36.81758880615235,13745.6,1756.673095703125,2024-08-10 00:57:05.750627,XGBRegressor
2024-08-09T00:00:00Z,-1.2132123550762133,36.73587799072266,-1.2225638367765916,36.81758880615235,14045.1,1671.0679931640625,2024-08-10 00:57:24.545443,XGBRegressor
2024-08-09T00:00:00Z,-1.207719524414527,36.74463272094727,-1.2225638367765916,36.81758880615235,11955.4,1585.6553955078125,2024-08-10 01:00:20.250400,XGBRegressor
2024-08-09T00:00:00Z,-1.195705300979875,36.753559112548835,-1.2225638367765916,36.81758880615235,8259.0,1137.809814453125,2024-08-10 01:00:21.832745,XGBRegressor
2024-08-09T00:00:00Z,-1.195705300979875,36.753559112548835,-1.2069463347620175,36.80909156799317,9719.3,1370.1663818359375,2024-08-10 01:00:23.843966,XGBRegressor
2024-08-09T00:00:00Z,-1.1900422581924321,36.76548957824708,-1.2069463347620175,36.80909156799317,9544.7,1313.4239501953125,2024-08-10 01:00:25.481542,XGBRegressor
2024-08-09T00:00:00Z,-1.1774272321794046,36.77707672119141,-1.2069463347620175,36.80909156799317,10751.5,1638.998291015625,2024-08-10 01:00:30.914118,XGBRegressor
2024-08-09T00:00:00Z,-1.1774272321794046,36.77707672119141,-1.2069463347620175,36.9096888,20205.7,1790.7154541015625,2024-08-10 01:00:40.456516,XGBRegressor
